seed,n_wings,exemplar_cost,budget,cap,n_supplies,total_value,plan_value,plan_cost,n_trips,best_source,solve_time_s,status,error
30008273,4,13567.0,4748.45,5,30,92,62,4693.0,10,learned ACO restart 1,15.184,ok,
30008276,4,9241.0,3234.35,5,30,83,55,3232.0,7,learned ACO restart 2,13.242,ok,
30008277,2,6697.0,2343.95,5,30,90,68,2337.0,6,learned ACO restart 1,11.359,ok,
30008279,4,18022.0,6307.7,5,30,98,70,6240.0,7,learned ACO restart 1,9.519,ok,
30008278,3,9272.0,3245.2,5,30,75,47,3141.0,6,learned ACO restart 2,11.178,ok,
30008280,2,5855.0,2049.25,5,30,88,54,1989.0,5,learned ACO restart 1,10.614,ok,
30008281,3,7620.0,2667.0,5,30,84,58,2644.0,6,learned ACO restart 1,12.385,ok,
30008282,4,23995.0,8398.25,5,30,85,55,8230.0,9,learned ACO restart 1,12.849,ok,
30008283,2,6764.0,2367.4,5,30,97,66,2328.0,6,learned ACO restart 1,12.447,ok,
30008284,3,6503.0,2276.05,5,30,96,61,2235.0,6,learned ACO restart 1,10.07,ok,
30008285,4,15190.0,5316.5,5,30,90,67,5189.0,8,learned ACO restart 1,11.423,ok,
30008286,2,6902.0,2415.7,5,30,99,68,2362.0,6,learned ACO restart 1,11.186,ok,
30008287,3,10407.0,3642.45,5,30,89,66,3529.0,5,learned ACO restart 1,12.317,ok,
30008288,4,16770.0,5869.5,5,30,92,68,5580.0,9,learned ACO restart 1,11.042,ok,
30008290,3,11158.0,3905.3,5,30,87,64,3856.0,9,learned ACO restart 1,11.371,ok,
30008289,2,9329.0,3265.15,5,30,89,65,3184.0,9,learned ACO restart 1,12.858,ok,
30008291,4,8825.0,3088.75,5,30,84,48,3000.0,6,learned ACO restart 2,10.607,ok,
30008292,2,5895.0,2063.25,5,30,85,67,1944.0,8,learned ACO restart 1,12.318,ok,
30008293,3,11952.0,4183.2,5,30,77,55,4002.0,9,learned ACO restart 1,11.132,ok,
30008296,3,14787.0,5175.45,5,30,78,55,5099.0,7,learned ACO restart 1,10.44,ok,
30008294,4,9880.0,3458.0,5,30,89,63,3386.0,6,learned ACO restart 1,12.275,ok,
30008295,2,8252.0,2888.2,5,30,90,63,2841.0,9,learned ACO restart 2,12.57,ok,
30008297,4,10449.0,3657.15,5,30,98,62,3554.0,7,learned ACO restart 3,11.426,ok,
30008298,2,6550.0,2292.5,5,30,101,70,2249.0,7,learned ACO restart 2,10.517,ok,
30008299,3,6317.0,2210.95,5,30,94,76,2199.0,9,learned ACO restart 1,11.588,ok,
30008301,2,9187.0,3215.45,5,30,99,68,3171.0,6,learned ACO restart 1,10.197,ok,
30008300,4,16438.0,5753.3,5,30,81,59,5586.0,8,learned ACO restart 1,12.082,ok,
30008303,4,13444.0,4705.4,5,30,82,60,4625.0,7,learned ACO restart 2,10.521,ok,
30008302,3,6655.0,2329.25,5,30,95,64,2284.0,11,learned ACO restart 1,12.585,ok,
30008304,2,5511.0,1928.85,5,30,94,58,1921.0,6,learned ACO restart 1,10.862,ok,
30008305,3,8671.0,3034.85,5,30,85,57,2986.0,8,learned ACO restart 1,10.303,ok,
30008307,2,5263.0,1842.05,5,30,94,61,1762.0,8,learned ACO restart 1,10.978,ok,
30008306,4,14996.0,5248.6,5,30,86,57,5104.0,9,learned ACO restart 1,13.068,ok,
30008308,3,6748.0,2361.8,5,30,99,63,2308.0,7,learned ACO restart 1,9.997,ok,
30008309,4,15636.0,5472.6,5,30,104,79,5304.0,10,learned ACO restart 1,12.389,ok,
30008310,2,9131.0,3195.85,5,30,98,68,3154.0,7,learned ACO restart 2,12.076,ok,
30008311,3,11651.0,4077.85,5,30,82,56,3956.0,6,learned ACO restart 1,11.129,ok,
30008312,4,15755.0,5514.25,5,30,93,58,5370.0,7,learned ACO restart 3,11.982,ok,
30008313,2,6448.0,2256.8,5,30,99,64,2174.0,6,learned ACO restart 1,11.896,ok,
30008315,4,20078.0,7027.3,5,30,88,61,7026.0,7,learned ACO restart 3,10.364,ok,
30008316,2,6551.0,2292.85,5,30,88,61,2290.0,7,learned ACO restart 1,10.659,ok,
30008314,3,4975.0,1741.25,5,30,87,56,1666.0,5,learned ACO restart 1,12.562,ok,
30008318,4,12987.0,4545.45,5,30,84,51,4351.0,7,learned ACO restart 1,10.784,ok,
30008317,3,7175.0,2511.25,5,30,99,75,2445.0,8,learned ACO restart 1,11.907,ok,
30008319,2,6797.0,2378.95,5,30,82,56,2348.0,7,learned ACO restart 3,10.163,ok,
30008321,4,14257.0,4989.95,5,30,88,60,4954.0,8,learned ACO restart 1,9.659,ok,
30008320,3,7440.0,2604.0,5,30,92,64,2525.0,6,learned ACO restart 3,11.859,ok,
30008322,2,7427.0,2599.45,5,30,96,68,2517.0,7,learned ACO restart 2,11.085,ok,
30008323,3,14259.0,4990.65,5,30,95,72,4810.0,9,learned ACO restart 1,10.15,ok,
30008324,4,12663.0,4432.05,5,30,87,70,4165.0,7,learned ACO restart 1,13.831,ok,
30008326,3,11357.0,3974.95,5,30,95,73,3924.0,10,learned ACO restart 1 + swap search,10.493,ok,
30008325,2,6428.0,2249.8,5,30,82,53,2248.0,6,learned ACO restart 1,11.465,ok,
30008328,2,8155.0,2854.25,5,30,103,60,2828.0,7,learned ACO restart 2,10.92,ok,
30008327,4,10608.0,3712.8,5,30,102,68,3684.0,7,learned ACO restart 2,13.731,ok,
30008329,3,11568.0,4048.8,5,30,91,70,4013.0,7,learned ACO restart 2,11.334,ok,
30008331,2,6608.0,2312.8,5,30,102,63,2244.0,6,learned ACO restart 1,11.181,ok,
30008330,4,12827.0,4489.45,5,30,98,75,4430.0,7,learned ACO restart 1,12.24,ok,
30008332,3,9545.0,3340.75,5,30,87,64,3307.0,7,learned ACO restart 3,11.116,ok,
30008333,4,10320.0,3612.0,5,30,93,64,3595.0,6,learned ACO restart 1,12.15,ok,
30008334,2,5850.0,2047.5,5,30,85,62,2036.0,6,learned ACO restart 1,12.66,ok,
30008335,3,15753.0,5513.55,5,30,90,69,5420.0,6,learned ACO restart 1,10.94,ok,
30008337,2,7680.0,2688.0,5,30,105,65,2635.0,7,learned ACO restart 1,10.168,ok,
30008336,4,13093.0,4582.55,5,30,81,58,4479.0,9,learned ACO restart 2,12.016,ok,
30008339,4,13486.0,4720.1,5,30,90,64,4627.0,7,learned ACO restart 2,10.832,ok,
30008338,3,6919.0,2421.65,5,30,85,60,2388.0,6,learned ACO restart 1,13.772,ok,
30008340,2,7361.0,2576.35,5,30,95,63,2561.0,7,learned ACO restart 2,12.001,ok,
30008341,3,7226.0,2529.1,5,30,81,57,2455.0,6,learned ACO restart 1,10.595,ok,
30008344,3,7909.0,2768.15,5,30,87,61,2736.0,6,learned ACO restart 1,10.114,ok,
30008343,2,7576.0,2651.6,5,30,99,70,2610.0,7,learned ACO restart 2,11.229,ok,
30008342,4,19390.0,6786.5,5,30,90,60,6668.0,7,learned ACO restart 1,11.8,ok,
30008345,4,12865.0,4502.75,5,30,86,59,4457.0,7,learned ACO restart 2,12.617,ok,
30008346,2,7430.0,2600.5,5,30,92,70,2529.0,7,learned ACO restart 2,13.191,ok,
30008347,3,6987.0,2445.45,5,30,77,54,2443.0,8,learned ACO restart 2,12.359,ok,
30008349,2,6388.0,2235.8,5,30,82,57,2189.0,7,learned ACO restart 3,10.388,ok,
30008348,4,18359.0,6425.65,5,30,102,77,6108.0,9,learned ACO restart 1,12.458,ok,
30008350,3,13751.0,4812.85,5,30,89,63,4694.0,8,learned ACO restart 1,12.305,ok,
30008352,2,6590.0,2306.5,5,30,76,48,2295.0,8,learned ACO restart 2,11.757,ok,
30008351,4,13513.0,4729.55,5,30,90,60,4488.0,7,learned ACO restart 1,14.851,ok,
30008353,3,6625.0,2318.75,5,30,88,59,2239.0,7,learned ACO restart 2,12.733,ok,
30008354,4,20120.0,7042.0,5,30,103,73,6857.0,9,learned ACO restart 2,12.039,ok,
30008355,2,7018.0,2456.3,5,30,90,65,2454.0,7,learned ACO restart 1,11.813,ok,
30008356,3,6813.0,2384.55,5,30,94,65,2267.0,6,learned ACO restart 1,11.728,ok,
30008357,4,17929.0,6275.15,5,30,87,71,5998.0,11,learned ACO restart 1,12.017,ok,
30008358,2,6629.0,2320.15,5,30,106,73,2265.0,9,learned ACO restart 1,11.028,ok,
30008359,3,8470.0,2964.5,5,30,82,53,2896.0,6,learned ACO restart 1,10.892,ok,
30008361,2,8398.0,2939.3,5,30,81,59,2821.0,8,learned ACO restart 3,11.675,ok,
30008364,2,7982.0,2793.7,5,30,101,67,2743.0,7,learned ACO restart 1,9.057,ok,
30008362,3,6901.0,2415.35,5,30,90,56,2395.0,7,learned ACO restart 1,11.61,ok,
30008360,4,11114.0,3889.9,5,30,100,67,3757.0,8,learned ACO restart 1,14.964,ok,
30008363,4,17469.0,6114.15,5,30,101,80,5841.0,8,learned ACO restart 1,12.769,ok,
