seed,n_wings,exemplar_cost,budget,cap,n_supplies,total_value,plan_value,plan_cost,n_trips,best_source,solve_time_s,status,error
24093350,4,12687.0,7612.2,5,30,87,78,7298.0,10,learned ACO restart 1,11.839,ok,
24093351,2,8709.0,5225.4,5,30,96,85,5027.0,9,learned ACO restart 1,12.498,ok,
24093349,3,7484.0,4490.4,5,30,88,78,4442.0,13,learned ACO restart 1,15.013,ok,
24093352,3,9892.0,5935.2,5,30,80,72,5917.0,11,learned ACO restart 1,12.087,ok,
24093354,2,7997.0,4798.2,5,30,100,86,4725.0,9,learned ACO restart 2,11.563,ok,
24093355,3,8466.0,5079.6,5,30,86,75,4843.0,11,learned ACO restart 1,12.404,ok,
24093353,4,13954.0,8372.4,5,30,89,75,8287.0,10,learned ACO restart 3,13.944,ok,
24093357,2,8304.0,4982.4,5,30,92,80,4954.0,10,learned ACO restart 1,11.749,ok,
24093356,4,14083.0,8449.8,5,30,92,82,8394.0,9,learned ACO restart 1,15.515,ok,
24093358,3,6587.0,3952.2,5,30,87,76,3941.0,9,learned ACO restart 3,12.076,ok,
24093360,2,6695.0,4017.0,5,30,87,80,3926.0,10,learned ACO restart 2,11.262,ok,
24093361,3,10599.0,6359.4,5,30,93,83,6262.0,10,learned ACO restart 2,11.616,ok,
24093359,4,13310.0,7986.0,5,30,95,85,7665.0,9,learned ACO restart 1,15.266,ok,
24093362,4,12879.0,7727.4,5,30,81,71,7614.0,10,learned ACO restart 1,12.658,ok,
24093363,2,7026.0,4215.6,5,30,100,91,4110.0,9,learned ACO restart 1,12.479,ok,
24093364,3,10458.0,6274.8,5,30,79,68,6088.0,10,learned ACO restart 1,11.574,ok,
24093365,4,11735.0,7041.0,5,30,102,86,6943.0,10,learned ACO restart 2,14.157,ok,
24093366,2,5290.0,3174.0,5,30,104,93,3086.0,9,learned ACO restart 2,14.405,ok,
24093368,4,12998.0,7798.8,5,30,80,71,7798.0,11,learned ACO restart 3,12.317,ok,
24093370,3,13930.0,8358.0,5,30,88,75,8077.0,11,learned ACO restart 1,10.402,ok,
24093371,4,17812.0,10687.2,5,30,89,80,10489.0,10,learned ACO restart 1 + swap search,10.264,ok,
24093367,3,12883.0,7729.8,5,30,87,84,7687.0,13,learned ACO restart 1,14.103,ok,
24093369,2,4963.0,2977.8,5,30,88,81,2974.0,10,learned ACO restart 3,13.198,ok,
24093372,2,7718.0,4630.8,5,30,90,80,4629.0,9,learned ACO restart 2,10.813,ok,
24093374,4,14377.0,8626.2,5,30,93,83,8330.0,9,learned ACO restart 2,12.054,ok,
24093377,4,20851.0,12510.6,5,30,93,80,12138.0,9,learned ACO restart 2,11.006,ok,
24093373,3,7456.0,4473.6,5,30,100,84,4356.0,11,learned ACO restart 2,14.723,ok,
24093378,2,7600.0,4560.0,5,30,97,87,4447.0,10,learned ACO restart 1,11.366,ok,
24093375,2,9277.0,5566.2,5,30,93,86,5550.0,12,learned ACO restart 3,13.513,ok,
24093376,3,7541.0,4524.6,5,30,91,82,4515.0,11,learned ACO restart 1,12.907,ok,
24093379,3,5073.0,3043.8,5,30,81,70,3021.0,8,learned ACO restart 1,12.974,ok,
24093380,4,17355.0,10413.0,5,30,92,79,10286.0,9,learned ACO restart 2,13.015,ok,
24093383,4,10452.0,6271.2,5,30,90,80,5883.0,9,learned ACO restart 1,11.099,ok,
24093382,3,10457.0,6274.2,5,30,80,72,5952.0,11,learned ACO restart 1,12.439,ok,
24093381,2,10277.0,6166.2,5,30,94,84,6050.0,12,learned ACO restart 2,13.16,ok,
